,Volume Flow rate ($cm^3/s$),Superficial Velocity (cm/s),Bed Porosity
0,16.72166883683448,0.8516276006809316,0.3814828160000001
1,33.20753320753321,1.6912457785174952,0.3814828160000001
2,48.42305730030785,2.4661660572691466,0.3814828160000001
3,70.21501422815078,3.5760213099769467,0.3814828160000001
4,85.5710834900288,4.358099495413555,0.3814828160000001
5,93.6764967837566,4.770904804693408,0.40527193846153853
6,108.05117079422958,5.503000940405847,0.4377116509090909
7,122.50538100773547,6.23914782167587,0.4621589704347827
8,139.28178234962897,7.093562925949744,0.48456901333333335
9,161.1825828797625,8.208961537802656,0.5242175507692308
10,175.87009509219754,8.956990392308775,0.5418391229629631
