Time(s),Thermocouple_1 Temp(deg C),Thermocouple_2 Temp(deg C),Thermocouple_3 Temp(deg C)
0,100,100,100
30,99.7,100,100
60,99.3,100,99.6
90,98.6,99.4,98.7
120,97.6,98.6,97.9
150,96.8,97.7,97.1
180,96.1,97,96.3
210,95.4,96.2,95.6
240,94.8,95.6,94.9
270,93.3,94.2,93.5
300,92.7,93.5,92.9
330,92,92.8,92.2
360,91.4,92.2,91.6
390,90.7,91.5,90.8
420,90.1,90.9,90.3
450,89.5,90.3,89.7
480,88.9,89.7,89.3
510,88.3,89.1,88.5
540,87.7,88.5,87.9
570,87.1,87.9,87.3
600,86.5,87.3,86.7
630,85.9,86.7,86.1
660,85.2,86,85.4
690,84.7,85.5,84.9
720,84.1,84.9,84.3
750,83.6,84.3,83.7
780,83,83.8,83.1
810,82.4,83.2,82.6
840,82,82.7,82.1
870,81.4,82.1,81.5
900,80.3,81.6,81
930,80.5,81.2,80.6
960,80,80.2,80.1
990,79.2,80,79.4
1020,78.7,79.5,79
1050,78.4,79.1,78.5
1080,77.9,78.2,78.1
1110,77.4,78.1,77.6
1140,77,77.2,77.1
1170,76.6,77.2,76.6
1200,76,76.7,76.1
1230,75.5,76.2,75.6
1260,75.1,75.8,75.2
1290,74.6,75.3,74.7
1320,74.2,74.9,74.3
1350,73.8,74.6,73.9
1380,73.3,74,73.5
1410,72.9,73.6,73
1440,72.4,73.1,72.6
1470,72,72.7,72.2
1500,71,72.3,71.7
1530,70.9,71.5,71
