Time,Thermocouple_Temp_1,Thermocouple_Temp_2,Thermocouple_Temp_3
0,99,99,99
30,94,97,98
60,93,97,97
90,92,96,96
120,91,95,96
150,91,95,95
180,90,94,94
210,90,93,94
240,90,93,93
270,89,92,93
300,89,91,92
330,88,91,91
360,88,90,91
390,87,90,90
420,87,89,90
450,86,89,89
480,86,88,89
510,85,88,88
540,85,87,88
570,84,87,87
600,84,87,87
630,84,86,86
660,83,85,86
690,83,85,85
720,82,85,85
750,82,84,84
780,81,84,84
810,81,83,83
840,80,82,83
870,80,82,83
900,80,82,82
930,79,81,82
960,79,81,81
990,78,81,81
1020,78,80,80
1050,78,80,80
1080,77,79,80
1110,77,79,79
1140,76,78,79
1170,76,78,78
1200,76,77,78
1230,75,77,78
1260,75,77,77
1290,74,76,77
1320,74,76,76
1350,74,76,76
1380,73,75,76
1410,73,75,75
1440,73,75,75
1470,72,74,75
1500,72,74,74
1530,72,74,74
1560,71,73,74
1590,71,73,73
1620,71,73,73
1650,71,72,73
1680,70,72,72
1710,70,72,72
1740,70,71,72
1770,69,71,71
1800,69,71,71
1830,69,70,71
1860,68,70,70
1890,68,70,70
1920,68,69,70
1950,67,69,69
1980,67,69,69
2010,67,68,69
2040,67,68,68
2070,66,68,68
2100,66,67,68
2130,66,67,67
2160,65,67,67
2190,65,66,67
2220,65,66,67
2250,64,66,66
2280,64,65,66
2310,64,65,65
